pos	5pG>A
1	0.0564322611257728
2	0.0264993953856549
3	0.0230092804184378
4	0.0257929122381726
5	0.0226393412133795
6	0.022000754838729
7	0.0217527300300473
8	0.0212972415679937
9	0.0208520813502063
10	0.0208774835602538
11	0.0208377270396883
12	0.020878367637872
13	0.020930403711614
14	0.0208138921203384
15	0.0206995543246192
16	0.0208566428882794
17	0.0208213468253685
18	0.0207134697715814
19	0.0205034398410524
20	0.0204769192284035
21	0.0205493028768579
22	0.0207682528307102
23	0.0209953674346615
24	0.020982386191015
25	0.0212056527547005
