pos	5pC>T
1	0.32993877890041
2	0.0431650872874335
3	0.0347993724364342
4	0.0265052196336385
5	0.0259981172153504
6	0.0245606160981612
7	0.0236366793966214
8	0.0230039152726508
9	0.0234804452841359
10	0.0230874482838738
11	0.0228843295277781
12	0.0228931264337513
13	0.0229022400645317
14	0.0229409203488425
15	0.0228444694419761
16	0.0229788762349426
17	0.0230595742297827
18	0.0231703805941903
19	0.0231948818532008
20	0.0229740581882269
21	0.0230429168643614
22	0.0232281858107003
23	0.0240771451414273
24	0.0260131897998677
25	0.0305023509018048
