pos	5pG>A
1	0.0411799065420561
2	0.0515668385561285
3	0.0366678533285867
4	0.0287410184317401
5	0.0255918106206014
6	0.0166352793471438
7	0.0118793786171185
8	0.0177925211097708
9	0.0141911069063387
10	0.0136458024325126
11	0.0154358353510896
12	0.0124146492861577
13	0.00945287883128043
14	0.0124766063630692
15	0.0106447688564477
16	0.00928421683138664
17	0.01375
18	0.0120630992885865
19	0.00898203592814371
20	0.0106320141760189
21	0.00663397750216325
22	0.00873108265424913
23	0.00893655049151028
24	0.00753238927387767
25	0.0119742990654206
