pos	5pG>A
1	0.0646108112839807
2	0.0294434360459254
3	0.0257692973008464
4	0.0287567996011327
5	0.0242315243207622
6	0.0233164795399906
7	0.0225070237756352
8	0.021999314047264
9	0.0215844393799864
10	0.0216294245929893
11	0.0212220396559387
12	0.0216871406787206
13	0.0213710886047531
14	0.02126675858555
15	0.0213903743315508
16	0.0215346904612441
17	0.0215102451243083
18	0.0213154281504303
19	0.021243663061016
20	0.0208481399686139
21	0.0211702732632965
22	0.0215440286614664
23	0.0218074993209727
24	0.0218874060183839
25	0.0221260387811634
