pos	5pG>A
1	0.0536029941301312
2	0.0284250303077689
3	0.0237360096063594
4	0.0267488848907472
5	0.0229225860186908
6	0.0220302484010086
7	0.0215113486177797
8	0.0212089728885621
9	0.0209356855739169
10	0.0208730646780885
11	0.0207292916069689
12	0.0207688267306087
13	0.0207934491812172
14	0.0206943914932958
15	0.0205847944792346
16	0.0206629903216635
17	0.0207422817743388
18	0.0206811705830478
19	0.0205476286704898
20	0.0205118311962352
21	0.0206259129127262
22	0.0207020629022168
23	0.0207862216165933
24	0.0207535273777193
25	0.0212486419060678
