pos	5pC>T
1	0.16290002677805
2	0.040302199269235
3	0.0354364106569522
4	0.0270149755101006
5	0.0264343820939093
6	0.0248827545475544
7	0.0239535547644581
8	0.0231112266344252
9	0.0235865610984661
10	0.0231067013522011
11	0.0228419393513303
12	0.0228193648514727
13	0.0228273341834896
14	0.022842492639843
15	0.0228314496715492
16	0.0228122561986562
17	0.0227821409151287
18	0.0228433473895497
19	0.0228559826079823
20	0.0227618720468281
21	0.0228193075070485
22	0.0230856710030216
23	0.0235308868091648
24	0.0243741840333834
25	0.0266922861659447
