pos	5pG>A
1	0.0668615693377381
2	0.0333774742200226
3	0.0255413895597411
4	0.0277621009053527
5	0.0228646355054625
6	0.0222499149477842
7	0.0217802167315794
8	0.0215033714956719
9	0.0210513834366023
10	0.0207687987289081
11	0.0205554142591664
12	0.0204439870951249
13	0.0203403199682369
14	0.0203155894138345
15	0.0203286083207858
16	0.0204283105302653
17	0.020447079642787
18	0.0204475714437633
19	0.0203288785177139
20	0.0202737914155285
21	0.0203390374206442
22	0.020364528341597
23	0.0204670456011554
24	0.0206062104914448
25	0.0210478926126324
