pos	5pC>T
1	0.238446087084054
2	0.0351017356539677
3	0.0300256088995479
4	0.024459556664555
5	0.0227819207426346
6	0.0227221870605635
7	0.0217941367974151
8	0.0209617507248714
9	0.0211877257480705
10	0.0208874380384744
11	0.0205681652308632
12	0.0204871099242035
13	0.0204799211049259
14	0.0204984339510614
15	0.0204497048288035
16	0.0203659906029986
17	0.0203620901654644
18	0.0203162855300629
19	0.0203118814379517
20	0.0202501599074456
21	0.0203022178447257
22	0.0204848591907887
23	0.0210703742869844
24	0.0236208052269731
25	0.0294435581961459
