# table produced by mapDamage version 2.0.2-4-g8e09074
# using mapped file Index9.sort_rmdup-0.bam and /home/rincewind/refsMT/pbe.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	21	1
+	22	2
+	23	1
+	24	1
+	25	2
+	26	6
+	27	5
+	28	5
+	29	16
+	30	17
+	31	19
+	32	38
+	33	25
+	34	44
+	35	41
+	36	57
+	37	56
+	38	76
+	39	89
+	40	107
+	41	117
+	42	117
+	43	110
+	44	128
+	45	146
+	46	160
+	47	143
+	48	163
+	49	187
+	50	166
+	51	178
+	52	190
+	53	194
+	54	217
+	55	233
+	56	197
+	57	203
+	58	219
+	59	220
+	60	217
+	61	206
+	62	155
+	63	152
+	64	183
+	65	201
+	66	175
+	67	172
+	68	173
+	69	174
+	70	151
+	71	139
+	72	105
+	73	131
+	74	98
+	75	114
+	76	83
+	77	79
+	78	82
+	79	73
+	80	62
+	81	46
+	82	48
+	83	47
+	84	24
+	85	28
+	86	29
+	87	22
+	88	25
+	89	20
+	90	18
+	91	19
+	92	13
+	93	16
+	94	17
+	95	5
+	96	13
+	97	11
+	98	4
+	99	4
+	100	5
+	101	5
+	102	6
+	103	4
+	104	5
+	105	2
+	106	1
+	107	1
+	108	1
+	109	2
+	110	1
+	111	3
+	112	3
+	114	1
+	115	1
+	116	2
+	118	3
+	121	1
+	129	1
+	141	1
-	22	1
-	23	1
-	25	8
-	26	6
-	27	5
-	28	15
-	29	12
-	30	18
-	31	28
-	32	27
-	33	41
-	34	38
-	35	45
-	36	63
-	37	59
-	38	94
-	39	108
-	40	99
-	41	138
-	42	128
-	43	136
-	44	130
-	45	173
-	46	152
-	47	177
-	48	158
-	49	170
-	50	168
-	51	217
-	52	205
-	53	213
-	54	208
-	55	221
-	56	218
-	57	205
-	58	191
-	59	227
-	60	190
-	61	218
-	62	199
-	63	190
-	64	228
-	65	185
-	66	196
-	67	186
-	68	167
-	69	163
-	70	166
-	71	125
-	72	140
-	73	135
-	74	115
-	75	104
-	76	115
-	77	78
-	78	87
-	79	74
-	80	63
-	81	61
-	82	53
-	83	58
-	84	46
-	85	40
-	86	36
-	87	24
-	88	35
-	89	26
-	90	24
-	91	18
-	92	24
-	93	20
-	94	10
-	95	16
-	96	14
-	97	8
-	98	10
-	99	9
-	100	14
-	101	5
-	102	5
-	103	5
-	104	7
-	105	4
-	106	2
-	107	4
-	108	4
-	111	2
-	112	3
-	113	1
-	115	3
-	116	3
-	117	3
-	120	2
-	122	2
-	126	1
-	130	1
-	140	1
