pos	5pC>T
1	0.343459326694763
2	0.0523786919583339
3	0.0407711152661816
4	0.0307168120340149
5	0.0274168341728143
6	0.0265896853713915
7	0.024918798931115
8	0.0243685559360226
9	0.0246419026076188
10	0.0242873062964023
11	0.0239667507495478
12	0.0238687511851416
13	0.0235392223943974
14	0.0239585933687671
15	0.023459770874285
16	0.0237029684652137
17	0.0236812246486225
18	0.0239319495500223
19	0.024125903164189
20	0.0239961543737078
21	0.0241111081746712
22	0.0245524122596942
23	0.0252432303628556
24	0.027082729610633
25	0.0312926887910736
