qname	mapped_flag	mapped_rname	mapped_pos	mapped_mapq	mapped_cigar	mapped_rnext	mapped_pnext	mapped_tlen	mapped_organism	true_record	true_start	true_end	true_organism	correct
volpertinger_1	4	*	0	0	*	*	0	0	*	B1	2143	2168	volpertinger	FALSE
volpertinger_2	4	*	0	0	*	*	0	0	*	MT	3402	3421	volpertinger	FALSE
volpertinger_3	4	*	0	0	*	*	0	0	*	A3	1413	1436	volpertinger	FALSE
volpertinger_4	4	*	0	0	*	*	0	0	*	A3	5689	5709	volpertinger	FALSE
volpertinger_5	4	*	0	0	*	*	0	0	*	MT	3280	3302	volpertinger	FALSE
volpertinger_6	4	*	0	0	*	*	0	0	*	A3	4936	4960	volpertinger	FALSE
volpertinger_7	4	*	0	0	*	*	0	0	*	A1	1320	1340	volpertinger	FALSE
volpertinger_8	4	*	0	0	*	*	0	0	*	A3	4480	4504	volpertinger	FALSE
volpertinger_9	4	*	0	0	*	*	0	0	*	X	2381	2400	volpertinger	FALSE
volpertinger_10	4	*	0	0	*	*	0	0	*	A1	2751	2781	volpertinger	FALSE
volpertinger_11	4	*	0	0	*	*	0	0	*	A2	4254	4281	volpertinger	FALSE
volpertinger_12	4	*	0	0	*	*	0	0	*	A1	3811	3830	volpertinger	FALSE
volpertinger_13	4	*	0	0	*	*	0	0	*	X	1474	1497	volpertinger	FALSE
volpertinger_14	4	*	0	0	*	*	0	0	*	B3	5855	5876	volpertinger	FALSE
volpertinger_15	4	*	0	0	*	*	0	0	*	A1	2351	2382	volpertinger	FALSE
volpertinger_16	4	*	0	0	*	*	0	0	*	B3	1378	1399	volpertinger	FALSE
volpertinger_17	4	*	0	0	*	*	0	0	*	MT	3153	3173	volpertinger	FALSE
volpertinger_18	4	*	0	0	*	*	0	0	*	B2	3167	3186	volpertinger	FALSE
volpertinger_19	4	*	0	0	*	*	0	0	*	A2	5852	5884	volpertinger	FALSE
volpertinger_20	4	*	0	0	*	*	0	0	*	A3	4211	4230	volpertinger	FALSE
volpertinger_21	4	*	0	0	*	*	0	0	*	MT	3627	3651	volpertinger	FALSE
volpertinger_22	4	*	0	0	*	*	0	0	*	B3	5269	5289	volpertinger	FALSE
volpertinger_23	4	*	0	0	*	*	0	0	*	MT	615	634	volpertinger	FALSE
volpertinger_24	4	*	0	0	*	*	0	0	*	B3	608	631	volpertinger	FALSE
volpertinger_25	4	*	0	0	*	*	0	0	*	B2	4581	4612	volpertinger	FALSE
retli_1	4	*	0	0	*	*	0	0	*	retli_tr	36600	36622	retli	FALSE
retli_2	4	*	0	0	*	*	0	0	*	retli_tr	117130	117149	retli	FALSE
retli_3	4	*	0	0	*	*	0	0	*	retli_tr	117305	117329	retli	FALSE
retli_4	4	*	0	0	*	*	0	0	*	retli_tr	30807	30828	retli	FALSE
retli_5	4	*	0	0	*	*	0	0	*	retli_tr	93409	93435	retli	FALSE
retli_6	4	*	0	0	*	*	0	0	*	retli_tr	85874	85912	retli	FALSE
retli_7	4	*	0	0	*	*	0	0	*	retli_tr	28236	28257	retli	FALSE
